PM2.5,PM10,CO,NO2,SO2,O3,Time,hour
88.0,162.0,1.09,113.0,17.0,4.0,2019-01-22 19:00:00,2019-01-22 19:00:00
96.0,167.0,1.45,117.0,20.0,4.0,2019-01-22 20:00:00,2019-01-22 20:00:00
106.0,184.0,1.59,107.0,21.0,3.0,2019-01-22 21:00:00,2019-01-22 21:00:00
95.0,184.0,1.36,94.0,17.0,3.0,2019-01-22 22:00:00,2019-01-22 22:00:00
92.0,145.0,1.07,88.0,14.0,2.0,2019-01-22 23:00:00,2019-01-22 23:00:00
80.0,122.0,1.07,83.0,14.0,2.0,2019-01-23 00:00:00,2019-01-23 00:00:00
84.0,122.0,0.96,78.0,14.0,2.0,2019-01-23 01:00:00,2019-01-23 01:00:00
83.0,123.0,0.88,87.0,16.0,2.0,2019-01-23 02:00:00,2019-01-23 02:00:00
88.0,133.0,0.86,79.0,15.0,2.0,2019-01-23 03:00:00,2019-01-23 03:00:00
81.0,124.0,0.84,76.0,14.0,2.0,2019-01-23 04:00:00,2019-01-23 04:00:00
89.0,129.0,0.9,83.0,16.0,2.0,2019-01-23 05:00:00,2019-01-23 05:00:00
98.0,147.0,1.03,83.0,17.0,2.0,2019-01-23 06:00:00,2019-01-23 06:00:00
111.0,183.0,1.11,82.0,20.0,3.0,2019-01-23 07:00:00,2019-01-23 07:00:00
109.0,200.0,1.18,88.0,26.0,4.0,2019-01-23 08:00:00,2019-01-23 08:00:00
119.0,202.0,2.13,93.0,57.0,11.0,2019-01-23 09:00:00,2019-01-23 09:00:00
112.0,187.0,1.14,79.0,40.0,31.0,2019-01-23 10:00:00,2019-01-23 10:00:00
92.0,146.0,0.64,55.0,22.0,64.0,2019-01-23 11:00:00,2019-01-23 11:00:00
66.0,105.0,0.31,30.0,17.0,100.0,2019-01-23 12:00:00,2019-01-23 12:00:00
60.0,100.0,0.28,30.0,16.0,102.0,2019-01-23 13:00:00,2019-01-23 13:00:00
64.0,94.0,0.28,40.0,16.0,92.0,2019-01-23 14:00:00,2019-01-23 14:00:00
63.0,123.0,0.3,54.0,15.0,83.0,2019-01-23 15:00:00,2019-01-23 15:00:00
59.0,126.0,0.78,117.0,14.0,14.0,2019-01-23 16:00:00,2019-01-23 16:00:00
84.0,196.0,2.0,117.0,28.0,6.0,2019-01-23 17:00:00,2019-01-23 17:00:00
121.0,247.84499999999935,2.26,117.0,29.0,3.0,2019-01-23 18:00:00,2019-01-23 18:00:00
101.0,239.0,1.96,117.0,21.0,3.0,2019-01-23 19:00:00,2019-01-23 19:00:00
107.0,206.0,1.98,115.0,22.0,3.0,2019-01-23 20:00:00,2019-01-23 20:00:00
97.0,176.0,2.27,106.0,22.0,3.0,2019-01-23 21:00:00,2019-01-23 21:00:00
96.0,189.0,1.7,94.0,19.0,2.0,2019-01-23 22:00:00,2019-01-23 22:00:00
92.0,149.0,1.3,85.0,15.0,2.0,2019-01-23 23:00:00,2019-01-23 23:00:00
73.0,119.0,1.06,81.0,13.0,2.0,2019-01-24 00:00:00,2019-01-24 00:00:00
79.0,110.0,1.0,78.0,13.0,2.0,2019-01-24 01:00:00,2019-01-24 01:00:00
77.0,118.0,0.96,73.0,12.0,2.0,2019-01-24 02:00:00,2019-01-24 02:00:00
88.0,118.0,0.89,79.0,15.0,2.0,2019-01-24 03:00:00,2019-01-24 03:00:00
97.0,132.0,0.93,86.0,17.0,2.0,2019-01-24 04:00:00,2019-01-24 04:00:00
105.0,145.0,1.06,82.0,16.0,3.0,2019-01-24 05:00:00,2019-01-24 05:00:00
114.0,170.0,1.32,89.0,18.0,3.0,2019-01-24 06:00:00,2019-01-24 06:00:00
132.0,216.0,1.56,102.0,23.0,3.0,2019-01-24 07:00:00,2019-01-24 07:00:00
131.0,217.0,1.3,106.0,25.0,6.0,2019-01-24 08:00:00,2019-01-24 08:00:00
133.0,211.0,1.08,115.0,25.0,12.0,2019-01-24 09:00:00,2019-01-24 09:00:00
130.0,201.0,0.67,58.0,22.0,69.0,2019-01-24 10:00:00,2019-01-24 10:00:00
101.0,139.0,0.55,41.0,19.0,105.0,2019-01-24 11:00:00,2019-01-24 11:00:00
94.0,134.0,0.51,41.0,18.0,112.0,2019-01-24 12:00:00,2019-01-24 12:00:00
90.0,119.0,0.41,54.0,18.0,108.0,2019-01-24 13:00:00,2019-01-24 13:00:00
85.0,130.0,0.36,47.0,17.0,110.0,2019-01-24 14:00:00,2019-01-24 14:00:00
78.0,124.0,0.42,56.0,17.0,105.0,2019-01-24 15:00:00,2019-01-24 15:00:00
94.0,134.0,0.5,54.0,16.0,102.0,2019-01-24 16:00:00,2019-01-24 16:00:00
88.0,141.0,0.61,63.0,17.0,85.0,2019-01-24 17:00:00,2019-01-24 17:00:00
102.0,157.0,0.74,79.0,20.0,66.0,2019-01-24 18:00:00,2019-01-24 18:00:00
113.0,171.0,1.08,117.0,17.0,9.0,2019-01-24 19:00:00,2019-01-24 19:00:00
129.0,225.0,0.98,117.0,16.0,11.0,2019-01-24 20:00:00,2019-01-24 20:00:00
128.0,179.0,0.72,90.0,16.0,46.0,2019-01-24 21:00:00,2019-01-24 21:00:00
135.0,169.0,0.68,80.0,16.0,50.0,2019-01-24 22:00:00,2019-01-24 22:00:00
136.0,175.0,0.65,81.0,16.0,39.0,2019-01-24 23:00:00,2019-01-24 23:00:00
142.0,182.0,0.76,96.0,17.0,21.0,2019-01-25 00:00:00,2019-01-25 00:00:00
133.0,174.0,0.85,105.0,18.0,11.0,2019-01-25 01:00:00,2019-01-25 01:00:00
124.0,164.0,0.96,103.0,17.0,8.0,2019-01-25 02:00:00,2019-01-25 02:00:00
113.0,158.0,0.9,99.0,17.0,8.0,2019-01-25 03:00:00,2019-01-25 03:00:00
117.0,154.0,0.76,99.0,17.0,8.0,2019-01-25 04:00:00,2019-01-25 04:00:00
109.0,151.0,0.6,78.0,17.0,23.0,2019-01-25 05:00:00,2019-01-25 05:00:00
100.0,143.0,0.74,97.0,16.0,6.0,2019-01-25 06:00:00,2019-01-25 06:00:00
103.0,155.0,0.81,94.0,17.0,10.0,2019-01-25 07:00:00,2019-01-25 07:00:00
106.0,161.0,0.98,88.0,22.0,9.0,2019-01-25 08:00:00,2019-01-25 08:00:00
115.0,198.0,0.98,86.0,22.0,14.0,2019-01-25 09:00:00,2019-01-25 09:00:00
114.0,164.0,0.9,82.0,23.0,23.0,2019-01-25 10:00:00,2019-01-25 10:00:00
109.0,164.0,0.75,65.0,27.0,48.0,2019-01-25 11:00:00,2019-01-25 11:00:00
104.0,158.0,0.5,31.0,19.0,88.0,2019-01-25 12:00:00,2019-01-25 12:00:00
79.0,149.0,0.39,26.0,15.0,92.0,2019-01-25 13:00:00,2019-01-25 13:00:00
66.0,113.0,0.3,26.0,14.0,90.0,2019-01-25 14:00:00,2019-01-25 14:00:00
64.0,96.0,0.31,22.0,15.0,91.0,2019-01-25 15:00:00,2019-01-25 15:00:00
67.0,94.0,0.36,30.0,11.0,44.0,2019-01-25 16:00:00,2019-01-25 16:00:00
67.0,125.0,0.35,27.0,9.0,37.0,2019-01-25 17:00:00,2019-01-25 17:00:00
71.0,102.0,0.33,23.0,9.0,43.0,2019-01-25 18:00:00,2019-01-25 18:00:00
71.0,103.0,0.36,23.0,11.0,48.0,2019-01-25 19:00:00,2019-01-25 19:00:00
56.0,88.0,0.33,27.0,13.0,45.0,2019-01-25 20:00:00,2019-01-25 20:00:00
56.0,73.0,0.28,24.0,13.0,48.0,2019-01-25 21:00:00,2019-01-25 21:00:00
48.0,69.0,0.11,14.0,12.0,64.0,2019-01-25 22:00:00,2019-01-25 22:00:00
26.0,59.0,0.13,16.0,12.0,59.0,2019-01-25 23:00:00,2019-01-25 23:00:00
30.0,60.0,0.11,19.0,14.0,51.0,2019-01-26 00:00:00,2019-01-26 00:00:00
28.0,57.0,0.11,16.0,13.0,52.0,2019-01-26 01:00:00,2019-01-26 01:00:00
21.0,47.0,0.11,17.0,13.0,49.0,2019-01-26 02:00:00,2019-01-26 02:00:00
17.0,34.0,0.11,19.0,16.0,47.0,2019-01-26 03:00:00,2019-01-26 03:00:00
22.0,29.0,0.11,16.0,16.0,50.0,2019-01-26 04:00:00,2019-01-26 04:00:00
16.0,32.0,0.11,20.0,14.0,48.0,2019-01-26 05:00:00,2019-01-26 05:00:00
22.0,30.0,0.11,36.0,13.0,30.0,2019-01-26 06:00:00,2019-01-26 06:00:00
15.0,38.0,0.11,27.0,14.0,38.0,2019-01-26 07:00:00,2019-01-26 07:00:00
18.0,29.0,0.11,19.0,13.0,53.0,2019-01-26 08:00:00,2019-01-26 08:00:00
19.0,28.0,0.12,19.0,11.0,58.0,2019-01-26 09:00:00,2019-01-26 09:00:00
13.0,43.0,0.11,18.0,11.0,62.0,2019-01-26 10:00:00,2019-01-26 10:00:00
18.0,37.0,0.11,14.0,10.0,67.0,2019-01-26 11:00:00,2019-01-26 11:00:00
15.0,33.0,0.11,15.0,10.0,67.0,2019-01-26 12:00:00,2019-01-26 12:00:00
21.0,29.0,0.11,21.0,11.0,66.0,2019-01-26 13:00:00,2019-01-26 13:00:00
13.0,36.0,0.11,23.0,12.0,68.0,2019-01-26 14:00:00,2019-01-26 14:00:00
11.0,40.0,0.11,28.0,12.0,61.0,2019-01-26 15:00:00,2019-01-26 15:00:00
18.0,42.0,0.11,29.0,10.0,56.0,2019-01-26 16:00:00,2019-01-26 16:00:00
19.0,37.0,0.16,35.0,10.0,50.0,2019-01-26 17:00:00,2019-01-26 17:00:00
23.0,49.0,0.22,37.0,12.0,44.0,2019-01-26 18:00:00,2019-01-26 18:00:00
35.0,51.0,0.21,43.0,11.0,36.0,2019-01-26 19:00:00,2019-01-26 19:00:00
21.0,52.0,0.28,46.0,12.0,31.0,2019-01-26 20:00:00,2019-01-26 20:00:00
31.0,57.0,0.22,48.0,10.0,28.0,2019-01-26 21:00:00,2019-01-26 21:00:00
29.0,54.0,0.23,47.0,10.0,25.0,2019-01-26 22:00:00,2019-01-26 22:00:00
32.0,56.0,0.21,34.0,11.0,37.0,2019-01-26 23:00:00,2019-01-26 23:00:00
34.0,51.0,0.17,53.0,11.0,17.0,2019-01-27 00:00:00,2019-01-27 00:00:00
31.0,59.0,0.26,54.0,11.0,8.0,2019-01-27 01:00:00,2019-01-27 01:00:00
40.0,59.0,0.33,44.0,11.0,16.0,2019-01-27 02:00:00,2019-01-27 02:00:00
32.0,53.0,0.51,42.0,12.0,17.0,2019-01-27 03:00:00,2019-01-27 03:00:00
25.0,48.0,0.64,31.0,12.0,26.0,2019-01-27 04:00:00,2019-01-27 04:00:00
32.0,53.0,0.4,34.0,11.0,25.0,2019-01-27 05:00:00,2019-01-27 05:00:00
32.0,51.0,0.31,36.0,10.0,25.0,2019-01-27 06:00:00,2019-01-27 06:00:00
29.0,51.0,0.22,25.0,11.0,39.0,2019-01-27 07:00:00,2019-01-27 07:00:00
28.0,51.0,0.21,20.0,12.0,49.0,2019-01-27 08:00:00,2019-01-27 08:00:00
23.0,58.0,0.24,21.0,12.0,50.0,2019-01-27 09:00:00,2019-01-27 09:00:00
34.0,52.0,0.22,22.0,12.0,56.0,2019-01-27 10:00:00,2019-01-27 10:00:00
28.0,59.0,0.22,20.0,11.0,61.0,2019-01-27 11:00:00,2019-01-27 11:00:00
31.0,53.0,0.2,19.0,10.0,71.0,2019-01-27 12:00:00,2019-01-27 12:00:00
31.0,47.0,0.2,20.0,9.0,74.0,2019-01-27 13:00:00,2019-01-27 13:00:00
31.0,50.0,0.22,21.0,10.0,78.0,2019-01-27 14:00:00,2019-01-27 14:00:00
31.0,52.0,0.25,24.0,9.0,77.0,2019-01-27 15:00:00,2019-01-27 15:00:00
31.0,55.0,0.37,44.0,10.0,57.0,2019-01-27 16:00:00,2019-01-27 16:00:00
44.0,70.0,0.53,67.0,11.0,27.0,2019-01-27 17:00:00,2019-01-27 17:00:00
52.0,91.0,0.51,82.0,10.0,13.0,2019-01-27 18:00:00,2019-01-27 18:00:00
51.0,95.0,0.51,81.0,11.0,9.0,2019-01-27 19:00:00,2019-01-27 19:00:00
57.0,98.0,0.56,85.0,12.0,4.0,2019-01-27 20:00:00,2019-01-27 20:00:00
57.0,86.0,0.65,83.0,11.0,5.0,2019-01-27 21:00:00,2019-01-27 21:00:00
53.0,86.0,0.58,83.0,11.0,4.0,2019-01-27 22:00:00,2019-01-27 22:00:00
50.0,87.0,0.62,81.0,11.0,4.0,2019-01-27 23:00:00,2019-01-27 23:00:00
55.0,84.0,0.57,77.0,12.0,2.0,2019-01-28 00:00:00,2019-01-28 00:00:00
52.0,101.0,0.54,77.0,12.0,3.0,2019-01-28 01:00:00,2019-01-28 01:00:00
54.0,102.0,0.56,78.0,13.0,3.0,2019-01-28 02:00:00,2019-01-28 02:00:00
68.0,101.0,0.72,74.0,19.0,3.0,2019-01-28 03:00:00,2019-01-28 03:00:00
84.0,120.0,0.65,59.0,18.0,12.0,2019-01-28 04:00:00,2019-01-28 04:00:00
95.0,120.0,0.5,42.0,16.0,31.0,2019-01-28 05:00:00,2019-01-28 05:00:00
103.0,131.0,0.56,41.0,16.0,38.0,2019-01-28 06:00:00,2019-01-28 06:00:00
107.0,130.0,0.54,35.0,15.0,45.0,2019-01-28 07:00:00,2019-01-28 07:00:00
82.0,118.0,0.52,34.0,14.0,49.0,2019-01-28 08:00:00,2019-01-28 08:00:00
89.0,109.0,0.56,48.0,15.0,35.0,2019-01-28 09:00:00,2019-01-28 09:00:00
95.0,103.0,0.73,45.0,10.0,27.0,2019-01-28 14:00:00,2019-01-28 14:00:00
95.0,109.0,0.78,46.0,10.0,27.0,2019-01-28 15:00:00,2019-01-28 15:00:00
113.0,128.0,0.76,51.0,10.0,25.0,2019-01-28 16:00:00,2019-01-28 16:00:00
111.0,128.0,0.82,55.0,10.0,19.0,2019-01-28 17:00:00,2019-01-28 17:00:00
110.0,124.0,0.83,58.0,10.0,16.0,2019-01-28 18:00:00,2019-01-28 18:00:00
109.0,122.0,0.84,64.0,10.0,12.0,2019-01-28 19:00:00,2019-01-28 19:00:00
113.0,122.0,0.83,62.0,10.0,11.0,2019-01-28 20:00:00,2019-01-28 20:00:00
115.0,119.0,0.84,63.0,9.0,9.0,2019-01-28 21:00:00,2019-01-28 21:00:00
115.0,125.0,0.83,57.0,11.0,14.0,2019-01-28 22:00:00,2019-01-28 22:00:00
115.0,123.0,0.85,55.0,10.0,12.0,2019-01-28 23:00:00,2019-01-28 23:00:00
102.0,125.0,0.8,38.0,11.0,28.0,2019-01-29 00:00:00,2019-01-29 00:00:00
107.0,116.0,0.76,37.0,10.0,31.0,2019-01-29 01:00:00,2019-01-29 01:00:00
92.0,110.0,0.7,30.0,10.0,40.0,2019-01-29 02:00:00,2019-01-29 02:00:00
82.0,103.0,0.74,27.0,11.0,48.0,2019-01-29 03:00:00,2019-01-29 03:00:00
78.0,93.0,0.68,27.0,11.0,50.0,2019-01-29 04:00:00,2019-01-29 04:00:00
76.0,99.0,0.75,30.0,11.0,44.0,2019-01-29 05:00:00,2019-01-29 05:00:00
76.0,108.0,0.83,43.0,11.0,24.0,2019-01-29 06:00:00,2019-01-29 06:00:00
90.0,119.0,0.93,47.0,12.0,20.0,2019-01-29 07:00:00,2019-01-29 07:00:00
56.0,134.0,0.99,39.0,14.0,32.0,2019-01-29 08:00:00,2019-01-29 08:00:00
50.0,122.0,1.21,34.0,18.0,43.0,2019-01-29 09:00:00,2019-01-29 09:00:00
57.0,105.0,1.07,28.0,16.0,56.0,2019-01-29 10:00:00,2019-01-29 10:00:00
61.0,106.0,0.97,29.0,16.0,62.0,2019-01-29 11:00:00,2019-01-29 11:00:00
60.0,107.0,0.96,30.0,15.0,64.0,2019-01-29 12:00:00,2019-01-29 12:00:00
60.0,110.0,0.95,30.0,14.0,67.0,2019-01-29 13:00:00,2019-01-29 13:00:00
71.0,105.0,0.93,34.0,12.0,59.0,2019-01-29 14:00:00,2019-01-29 14:00:00
69.0,104.0,1.05,42.0,12.0,48.0,2019-01-29 15:00:00,2019-01-29 15:00:00
74.0,112.0,1.11,41.0,13.0,50.0,2019-01-29 16:00:00,2019-01-29 16:00:00
71.0,106.0,1.07,48.0,12.0,41.0,2019-01-29 17:00:00,2019-01-29 17:00:00
84.0,115.0,0.93,43.0,12.0,42.0,2019-01-29 18:00:00,2019-01-29 18:00:00
80.0,101.0,0.88,47.0,10.0,35.0,2019-01-29 19:00:00,2019-01-29 19:00:00
76.0,97.0,1.08,63.0,10.0,16.0,2019-01-29 20:00:00,2019-01-29 20:00:00
75.0,96.0,0.98,62.0,9.0,10.0,2019-01-29 21:00:00,2019-01-29 21:00:00
82.0,92.0,0.96,49.0,9.0,15.0,2019-01-29 22:00:00,2019-01-29 22:00:00
79.0,93.0,0.89,44.0,9.0,20.0,2019-01-29 23:00:00,2019-01-29 23:00:00
98.0,101.0,1.1,62.0,9.0,4.0,2019-01-30 00:00:00,2019-01-30 00:00:00
83.0,97.0,1.01,56.0,9.0,6.0,2019-01-30 01:00:00,2019-01-30 01:00:00
85.0,107.0,1.04,56.0,8.0,5.0,2019-01-30 02:00:00,2019-01-30 02:00:00
84.0,100.0,1.07,55.0,9.0,4.0,2019-01-30 03:00:00,2019-01-30 03:00:00
87.0,99.0,1.0,50.0,9.0,5.0,2019-01-30 04:00:00,2019-01-30 04:00:00
89.0,102.0,1.06,54.0,8.0,3.0,2019-01-30 05:00:00,2019-01-30 05:00:00
78.0,91.0,1.01,51.0,9.0,3.0,2019-01-30 06:00:00,2019-01-30 06:00:00
71.0,86.0,0.93,46.0,10.0,3.0,2019-01-30 07:00:00,2019-01-30 07:00:00
63.0,78.0,0.82,47.0,10.0,4.0,2019-01-30 08:00:00,2019-01-30 08:00:00
57.0,76.0,0.79,42.0,9.0,5.0,2019-01-30 09:00:00,2019-01-30 09:00:00
61.0,72.0,0.77,44.0,9.0,5.0,2019-01-30 10:00:00,2019-01-30 10:00:00
50.0,71.0,0.78,42.0,9.0,5.0,2019-01-30 11:00:00,2019-01-30 11:00:00
52.0,73.0,0.75,45.0,9.0,4.0,2019-01-30 12:00:00,2019-01-30 12:00:00
56.0,56.0,0.78,45.0,9.0,4.0,2019-01-30 13:00:00,2019-01-30 13:00:00
50.0,56.0,0.59,44.0,9.0,7.0,2019-01-30 14:00:00,2019-01-30 14:00:00
45.0,49.0,0.62,51.0,8.0,6.0,2019-01-30 15:00:00,2019-01-30 15:00:00
38.0,42.0,0.62,55.0,9.0,3.0,2019-01-30 16:00:00,2019-01-30 16:00:00
40.0,47.0,0.56,53.0,8.0,5.0,2019-01-30 17:00:00,2019-01-30 17:00:00
45.0,43.0,0.41,34.0,8.0,20.0,2019-01-30 18:00:00,2019-01-30 18:00:00
38.0,37.0,0.31,24.0,8.0,31.0,2019-01-30 19:00:00,2019-01-30 19:00:00
25.0,24.0,0.33,20.0,8.0,35.0,2019-01-30 20:00:00,2019-01-30 20:00:00
24.0,18.0,0.29,18.0,8.0,43.0,2019-01-30 21:00:00,2019-01-30 21:00:00
18.0,15.0,0.2,14.0,8.0,56.0,2019-01-30 22:00:00,2019-01-30 22:00:00
13.0,6.0,0.11,9.0,8.0,69.0,2019-01-30 23:00:00,2019-01-30 23:00:00
7.0,6.0,0.14,6.0,7.0,73.0,2019-01-31 00:00:00,2019-01-31 00:00:00
7.0,6.0,0.12,5.0,7.0,73.0,2019-01-31 01:00:00,2019-01-31 01:00:00
7.0,6.0,0.11,7.0,7.0,71.0,2019-01-31 02:00:00,2019-01-31 02:00:00
7.0,6.0,0.13,10.0,7.0,69.0,2019-01-31 03:00:00,2019-01-31 03:00:00
7.0,6.0,0.35,17.0,7.0,66.0,2019-01-31 04:00:00,2019-01-31 04:00:00
7.0,6.0,0.53,28.0,8.0,56.0,2019-01-31 05:00:00,2019-01-31 05:00:00
14.0,6.0,0.67,38.0,8.0,44.0,2019-01-31 06:00:00,2019-01-31 06:00:00
17.0,13.0,0.61,29.0,8.0,49.0,2019-01-31 07:00:00,2019-01-31 07:00:00
17.0,12.0,0.43,19.0,7.0,57.0,2019-01-31 08:00:00,2019-01-31 08:00:00
20.0,13.0,0.34,18.0,7.0,57.0,2019-01-31 09:00:00,2019-01-31 09:00:00
11.0,9.0,0.31,18.0,7.0,59.0,2019-01-31 10:00:00,2019-01-31 10:00:00
9.0,9.0,0.31,17.0,7.0,63.0,2019-01-31 11:00:00,2019-01-31 11:00:00
14.0,7.0,0.33,19.0,7.0,58.0,2019-01-31 12:00:00,2019-01-31 12:00:00
13.0,11.0,0.3,20.0,7.0,56.0,2019-01-31 13:00:00,2019-01-31 13:00:00
21.0,18.0,0.48,27.0,7.0,51.0,2019-01-31 14:00:00,2019-01-31 14:00:00
27.0,22.0,0.86,30.0,10.0,50.0,2019-01-31 15:00:00,2019-01-31 15:00:00
31.0,32.0,0.94,31.0,9.0,46.0,2019-01-31 16:00:00,2019-01-31 16:00:00
41.0,44.0,0.93,32.0,9.0,44.0,2019-01-31 17:00:00,2019-01-31 17:00:00
49.0,50.0,0.63,27.0,8.0,47.0,2019-01-31 18:00:00,2019-01-31 18:00:00
33.0,43.0,0.42,23.0,7.0,52.0,2019-01-31 19:00:00,2019-01-31 19:00:00
28.0,39.0,0.4,24.0,7.0,50.0,2019-01-31 20:00:00,2019-01-31 20:00:00
31.0,38.0,0.32,19.0,7.0,58.0,2019-01-31 21:00:00,2019-01-31 21:00:00
35.0,43.0,0.32,14.0,7.0,66.0,2019-01-31 22:00:00,2019-01-31 22:00:00
36.0,42.0,0.3,13.0,7.0,67.0,2019-01-31 23:00:00,2019-01-31 23:00:00
28.0,40.0,0.33,12.0,7.0,69.0,2019-02-01 00:00:00,2019-02-01 00:00:00
40.0,48.0,0.37,11.0,7.0,69.0,2019-02-01 01:00:00,2019-02-01 01:00:00
34.0,53.0,0.47,11.0,7.0,72.0,2019-02-01 02:00:00,2019-02-01 02:00:00
51.0,56.0,0.56,9.0,7.0,77.0,2019-02-01 03:00:00,2019-02-01 03:00:00
59.0,58.0,0.57,14.0,8.0,74.0,2019-02-01 04:00:00,2019-02-01 04:00:00
51.0,58.0,0.62,17.0,8.0,69.0,2019-02-01 05:00:00,2019-02-01 05:00:00
63.0,62.0,0.69,22.0,8.0,64.0,2019-02-01 06:00:00,2019-02-01 06:00:00
59.0,61.0,0.7,20.0,8.0,63.0,2019-02-01 07:00:00,2019-02-01 07:00:00
51.0,66.0,0.68,19.0,9.0,67.0,2019-02-01 08:00:00,2019-02-01 08:00:00
57.0,67.0,0.72,21.0,8.0,66.0,2019-02-01 09:00:00,2019-02-01 09:00:00
53.0,68.0,0.76,22.0,9.0,69.0,2019-02-01 10:00:00,2019-02-01 10:00:00
58.0,72.0,0.68,16.0,10.0,81.0,2019-02-01 11:00:00,2019-02-01 11:00:00
51.0,56.0,0.7,15.0,10.0,92.0,2019-02-01 13:00:00,2019-02-01 13:00:00
40.0,66.0,0.63,18.0,10.0,93.0,2019-02-01 14:00:00,2019-02-01 14:00:00
37.0,58.0,0.92,25.0,11.0,88.0,2019-02-01 15:00:00,2019-02-01 15:00:00
46.0,84.0,1.04,40.0,14.0,77.0,2019-02-01 16:00:00,2019-02-01 16:00:00
55.0,74.0,1.09,40.0,11.0,66.0,2019-02-01 17:00:00,2019-02-01 17:00:00
68.0,87.0,1.1,37.0,9.0,64.0,2019-02-01 18:00:00,2019-02-01 18:00:00
69.0,86.0,1.1,44.0,9.0,54.0,2019-02-01 19:00:00,2019-02-01 19:00:00
70.0,89.0,1.03,38.0,9.0,55.0,2019-02-01 20:00:00,2019-02-01 20:00:00
90.0,90.0,1.02,36.0,9.0,52.0,2019-02-01 21:00:00,2019-02-01 21:00:00
89.0,93.0,1.07,31.0,8.0,52.0,2019-02-01 22:00:00,2019-02-01 22:00:00
79.0,88.0,0.98,24.0,8.0,58.0,2019-02-01 23:00:00,2019-02-01 23:00:00
82.0,84.0,1.07,24.0,9.0,47.0,2019-02-02 00:00:00,2019-02-02 00:00:00
86.0,92.0,1.12,27.0,9.0,39.0,2019-02-02 01:00:00,2019-02-02 01:00:00
83.0,88.0,1.03,27.0,10.0,39.0,2019-02-02 02:00:00,2019-02-02 02:00:00
84.0,83.0,0.96,24.0,9.0,40.0,2019-02-02 03:00:00,2019-02-02 03:00:00
82.0,80.0,1.03,25.0,10.0,38.0,2019-02-02 04:00:00,2019-02-02 04:00:00
83.0,88.0,1.05,33.0,10.0,27.0,2019-02-02 05:00:00,2019-02-02 05:00:00
86.0,91.0,1.01,44.0,10.0,18.0,2019-02-02 06:00:00,2019-02-02 06:00:00
84.0,98.0,1.09,38.0,10.0,22.0,2019-02-02 07:00:00,2019-02-02 07:00:00
93.0,99.0,1.06,37.0,11.0,25.0,2019-02-02 08:00:00,2019-02-02 08:00:00
88.0,98.0,1.05,36.0,11.0,25.0,2019-02-02 09:00:00,2019-02-02 09:00:00
87.0,99.0,1.11,37.0,11.0,31.0,2019-02-02 10:00:00,2019-02-02 10:00:00
78.0,88.0,1.06,36.0,11.0,34.0,2019-02-02 11:00:00,2019-02-02 11:00:00
75.0,88.0,1.12,38.0,11.0,32.0,2019-02-02 12:00:00,2019-02-02 12:00:00
78.0,90.0,1.14,43.0,11.0,24.0,2019-02-02 13:00:00,2019-02-02 13:00:00
85.0,95.0,1.23,50.0,11.0,15.0,2019-02-02 14:00:00,2019-02-02 14:00:00
86.0,103.0,1.3,58.0,11.0,9.0,2019-02-02 15:00:00,2019-02-02 15:00:00
90.0,101.0,1.35,57.0,11.0,7.0,2019-02-02 16:00:00,2019-02-02 16:00:00
77.0,101.0,1.22,58.0,10.0,8.0,2019-02-02 17:00:00,2019-02-02 17:00:00
81.0,99.0,1.36,61.0,11.0,5.0,2019-02-02 18:00:00,2019-02-02 18:00:00
85.0,99.0,1.36,58.0,11.0,5.0,2019-02-02 19:00:00,2019-02-02 19:00:00
82.0,101.0,1.51,64.0,11.0,3.0,2019-02-02 20:00:00,2019-02-02 20:00:00
87.0,104.0,1.66,67.0,12.0,3.0,2019-02-02 21:00:00,2019-02-02 21:00:00
76.0,98.0,1.71,67.0,13.0,2.0,2019-02-02 22:00:00,2019-02-02 22:00:00
80.0,97.0,1.71,64.0,13.0,2.0,2019-02-02 23:00:00,2019-02-02 23:00:00
80.0,92.0,1.64,56.0,13.0,2.0,2019-02-03 00:00:00,2019-02-03 00:00:00
73.0,80.0,1.4,46.0,12.0,8.0,2019-02-03 01:00:00,2019-02-03 01:00:00
66.0,72.0,1.19,24.0,10.0,29.0,2019-02-03 02:00:00,2019-02-03 02:00:00
49.0,48.0,1.2,15.0,9.0,40.0,2019-02-03 03:00:00,2019-02-03 03:00:00
63.0,56.0,1.28,18.0,9.0,34.0,2019-02-03 04:00:00,2019-02-03 04:00:00
59.0,52.0,1.24,27.0,9.0,25.0,2019-02-03 05:00:00,2019-02-03 05:00:00
66.0,61.0,1.31,32.0,9.0,16.0,2019-02-03 06:00:00,2019-02-03 06:00:00
80.0,73.0,1.42,33.0,9.0,18.0,2019-02-03 07:00:00,2019-02-03 07:00:00
96.0,89.0,1.39,30.0,8.0,26.0,2019-02-03 08:00:00,2019-02-03 08:00:00
90.0,98.0,1.33,26.0,8.0,42.0,2019-02-03 09:00:00,2019-02-03 09:00:00
90.0,93.0,1.32,24.0,9.0,45.0,2019-02-03 10:00:00,2019-02-03 10:00:00
98.0,101.0,1.29,24.0,8.0,49.0,2019-02-03 11:00:00,2019-02-03 11:00:00
97.0,105.0,1.29,22.0,8.0,51.0,2019-02-03 12:00:00,2019-02-03 12:00:00
91.0,99.0,1.37,27.0,9.0,48.0,2019-02-03 13:00:00,2019-02-03 13:00:00
100.0,106.0,1.35,28.0,9.0,48.0,2019-02-03 14:00:00,2019-02-03 14:00:00
